feature,PSI,drift_level,target_label
loan_amnt,0.01183453889035107,stable,val
installment,0.005566419953856472,stable,val
annual_inc,0.005423037274944282,stable,val
dti,0.056046587836591694,stable,val
delinq_2yrs,0.005440494778103383,stable,val
inq_last_6mths,0.05493859439410999,stable,val
mths_since_last_delinq,0.01240995923777568,stable,val
mths_since_last_record,0.05574791383078525,stable,val
open_acc,0.01998451271116989,stable,val
pub_rec,0.019239731754887957,stable,val
revol_bal,0.006024545371419349,stable,val
revol_util,0.013196742712624727,stable,val
total_acc,0.0011481773800678923,stable,val
collections_12_mths_ex_med,0.008154519292017425,stable,val
mths_since_last_major_derog,0.036819322227905626,stable,val
acc_now_delinq,0.0008120462812620647,stable,val
tot_coll_amt,1.135748035716696,significant,val
tot_cur_bal,1.1338804821324258,significant,val
total_rev_hi_lim,1.1381087114583353,significant,val
acc_open_past_24mths,0.7837666347070968,significant,val
avg_cur_bal,1.133213994598407,significant,val
bc_open_to_buy,0.2915839667429049,significant,val
bc_util,0.29047365177407963,significant,val
chargeoff_within_12_mths,0.0010553748262065634,stable,val
delinq_amnt,0.0008239862471966638,stable,val
mo_sin_old_il_acct,0.30375404384183063,significant,val
mo_sin_old_rev_tl_op,1.1336176010925822,significant,val
mo_sin_rcnt_rev_tl_op,1.128170105897891,significant,val
mo_sin_rcnt_tl,1.1308244666082432,significant,val
mort_acc,0.7682463065590538,significant,val
mths_since_recent_bc,0.28397996812866644,significant,val
mths_since_recent_bc_dlq,0.013799054722906753,stable,val
mths_since_recent_inq,0.06900617013852742,stable,val
mths_since_recent_revol_delinq,0.019418159176292617,stable,val
num_accts_ever_120_pd,1.1323727896359024,significant,val
num_actv_bc_tl,1.1321972747131956,significant,val
num_actv_rev_tl,1.1359972965879837,significant,val
num_bc_sats,0.9231350137409233,significant,val
num_bc_tl,1.1489038007665655,significant,val
num_il_tl,1.129695456611013,significant,val
num_op_rev_tl,1.136597340799028,significant,val
num_rev_accts,1.1364538514569698,significant,val
num_rev_tl_bal_gt_0,1.134095135242721,significant,val
num_sats,0.9244871879322353,significant,val
num_tl_120dpd_2m,0.1764993066211587,moderate,val
num_tl_30dpd,1.127216979577604,significant,val
num_tl_90g_dpd_24m,1.127259597278236,significant,val
num_tl_op_past_12m,1.1512926268236612,significant,val
pct_tl_nvr_dlq,1.1376752477575616,significant,val
percent_bc_gt_75,0.29538096414648357,significant,val
pub_rec_bankruptcies,0.015805796277779165,stable,val
tax_liens,0.011860927470617505,stable,val
tot_hi_cred_lim,1.1359257517497907,significant,val
total_bal_ex_mort,0.7826817904204341,significant,val
total_bc_limit,0.7667404738552791,significant,val
total_il_high_credit_limit,1.1495290246363672,significant,val
credit_age_yrs,0.01687007103196458,stable,val
fico_mid,0.008908253956765451,stable,val
term,0.012555768969048545,stable,val
emp_length,0.013068344024733686,stable,val
home_ownership,0.004576486195998085,stable,val
verification_status,0.05445414703042157,stable,val
purpose,0.030268974557257942,stable,val
addr_state,0.02266666360266168,stable,val
initial_list_status,0.33308376478010515,significant,val
loan_amnt,0.01081078866919834,stable,test
installment,0.015576358147206187,stable,test
annual_inc,0.015432604444492955,stable,test
dti,0.03708993863632971,stable,test
delinq_2yrs,0.00780607596833287,stable,test
inq_last_6mths,0.061424907255738216,stable,test
mths_since_last_delinq,0.018055209321367123,stable,test
mths_since_last_record,0.0763037244488306,stable,test
open_acc,0.01842019649960467,stable,test
pub_rec,0.030648806189576955,stable,test
revol_bal,0.007572625866270916,stable,test
revol_util,0.057687023772630054,stable,test
total_acc,0.004816876590479574,stable,test
collections_12_mths_ex_med,0.009706327238893881,stable,test
mths_since_last_major_derog,0.03507762177815757,stable,test
acc_now_delinq,0.001437887064098845,stable,test
tot_coll_amt,1.14658158269239,significant,test
tot_cur_bal,1.131679303562105,significant,test
total_rev_hi_lim,1.1418470373967224,significant,test
acc_open_past_24mths,0.7936610565041222,significant,test
avg_cur_bal,1.1297448454635048,significant,test
bc_open_to_buy,0.3071780342087184,significant,test
bc_util,0.32230574833137426,significant,test
chargeoff_within_12_mths,0.0004137889240782925,stable,test
delinq_amnt,0.002156154768054309,stable,test
mo_sin_old_il_acct,0.3268542495127509,significant,test
mo_sin_old_rev_tl_op,1.152237460892967,significant,test
mo_sin_rcnt_rev_tl_op,1.1291828140741904,significant,test
mo_sin_rcnt_tl,1.132295647146741,significant,test
mort_acc,0.7870322383675312,significant,test
mths_since_recent_bc,0.27465177767411775,significant,test
mths_since_recent_bc_dlq,0.015683222658161848,stable,test
mths_since_recent_inq,0.07090189022650384,stable,test
mths_since_recent_revol_delinq,0.022390477780955462,stable,test
num_accts_ever_120_pd,1.1340210271148032,significant,test
num_actv_bc_tl,1.1379340172139878,significant,test
num_actv_rev_tl,1.1446979118314622,significant,test
num_bc_sats,0.9278503669255554,significant,test
num_bc_tl,1.1920748655940805,significant,test
num_il_tl,1.129886090558929,significant,test
num_op_rev_tl,1.1413466097920288,significant,test
num_rev_accts,1.1611950944671106,significant,test
num_rev_tl_bal_gt_0,1.1422511936091995,significant,test
num_sats,0.9257657315966874,significant,test
num_tl_120dpd_2m,0.1624751994427477,moderate,test
num_tl_30dpd,1.127491256717298,significant,test
num_tl_90g_dpd_24m,1.1271585974854472,significant,test
num_tl_op_past_12m,1.1654334756249338,significant,test
pct_tl_nvr_dlq,1.1414466323280226,significant,test
percent_bc_gt_75,0.3410926209869381,significant,test
pub_rec_bankruptcies,0.01956032774623989,stable,test
tax_liens,0.018196489413076108,stable,test
tot_hi_cred_lim,1.1380585574158593,significant,test
total_bal_ex_mort,0.7827763777303022,significant,test
total_bc_limit,0.7706001910511991,significant,test
total_il_high_credit_limit,1.162755935333268,significant,test
credit_age_yrs,0.01523356991207473,stable,test
fico_mid,0.003439793194361881,stable,test
term,0.0021083978247028092,stable,test
emp_length,0.026542687261733477,stable,test
home_ownership,0.011860313749388004,stable,test
verification_status,0.039058045925859736,stable,test
purpose,0.03266808152370864,stable,test
addr_state,0.06219932521886205,stable,test
initial_list_status,0.7607014779468224,significant,test
